ID,Age,Sex,Ethnicity,University_Degree,Flu_Vaccination_History,Living_Area,Before_Perception
1,63,Female,White,No,Yes,Urban,3
2,20,Male,White,No,No,Urban,2
3,46,Male,White,No,Yes,Urban,5
4,52,Female,White,No,No,Urban,2
5,56,Male,Latino,Yes,Yes,Urban,5
6,35,Female,Latino,Yes,No,Urban,4
7,37,Male,White,Yes,No,Urban,5
8,60,Female,Latino,No,Yes,Rural,4
9,40,Female,White,No,Yes,Urban,5
10,51,Male,Others,No,No,Urban,5
11,50,Female,White,Yes,Yes,Urban,4
12,27,Female,Black,Yes,Yes,Urban,5
13,50,Female,White,Yes,No,Urban,3
14,64,Female,White,Yes,Yes,Urban,5
15,50,Male,Latino,No,Yes,Rural,1
16,43,Female,Latino,Yes,Yes,Urban,3
17,37,Female,Others,No,No,Rural,1
18,32,Female,Latino,No,Yes,Rural,4
19,54,Male,White,Yes,No,Urban,5
20,50,Female,Black,Yes,No,Urban,5
21,34,Male,White,No,No,Urban,5
22,22,Female,White,No,No,Urban,5
23,21,Male,White,No,Yes,Urban,2
24,20,Male,White,No,Yes,Urban,2
25,38,Male,Others,No,Yes,Urban,5
26,57,Female,White,No,Yes,Urban,2
27,20,Male,White,Yes,Yes,Urban,4
28,38,Male,White,No,Yes,Urban,1
29,25,Female,Black,No,No,Urban,5
30,59,Female,White,No,No,Urban,5
31,53,Female,White,No,No,Urban,3
32,46,Female,White,Yes,Yes,Rural,1
33,56,Male,White,No,Yes,Rural,4
34,51,Female,White,No,No,Rural,3
35,39,Male,Others,Yes,Yes,Urban,3
36,48,Male,Asian,No,No,Urban,3
37,45,Male,White,Yes,Yes,Urban,1
38,52,Female,Others,No,No,Urban,1
39,51,Male,White,Yes,Yes,Urban,1
40,30,Male,Latino,No,No,Urban,2
41,58,Female,White,No,Yes,Urban,2
42,21,Male,White,Yes,Yes,Urban,2
43,60,Female,Latino,No,No,Rural,1
44,23,Female,White,No,Yes,Rural,1
45,18,Female,White,No,Yes,Urban,1
46,29,Male,Asian,No,No,Urban,1
47,52,Female,White,Yes,No,Urban,1
48,28,Female,Latino,No,No,Rural,2
49,40,Female,Latino,Yes,Yes,Urban,2
50,31,Male,Asian,No,Yes,Urban,2
51,36,Male,Asian,Yes,No,Urban,2
52,54,Male,Latino,No,No,Rural,5
53,33,Female,Asian,No,Yes,Urban,1
54,61,Male,Black,Yes,No,Urban,4
55,45,Male,White,No,No,Urban,5
56,62,Female,Latino,No,Yes,Urban,5
57,48,Female,Asian,Yes,Yes,Urban,1
58,24,Female,White,No,No,Urban,3
59,63,Female,White,No,No,Urban,2
60,44,Female,Latino,No,Yes,Rural,4
61,34,Male,White,No,No,Urban,4
62,24,Male,White,No,No,Urban,5
63,32,Female,White,No,Yes,Urban,5
64,57,Female,Black,No,No,Urban,4
65,29,Male,Asian,No,Yes,Urban,1
66,25,Male,White,Yes,Yes,Urban,3
67,19,Female,White,No,Yes,Urban,3
68,61,Female,Black,No,No,Urban,1
69,55,Male,Latino,Yes,No,Urban,2
