ID,Group
1,Emotion
2,Reason
3,Control
4,Control
5,Control
6,Control
7,Emotion
8,Control
9,Emotion
10,Emotion
11,Reason
12,Reason
13,Control
14,Reason
15,Reason
16,Control
17,Emotion
18,Emotion
19,Reason
20,Reason
21,Emotion
22,Emotion
23,Control
24,Reason
25,Emotion
26,Control
27,Emotion
28,Control
29,Reason
30,Reason
31,Reason
32,Reason
33,Emotion
34,Control
35,Emotion
36,Control
37,Emotion
38,Control
39,Emotion
40,Emotion
41,Reason
42,Emotion
43,Control
44,Control
45,Reason
46,Emotion
47,Control
48,Control
49,Emotion
50,Control
51,Emotion
52,Emotion
53,Emotion
54,Control
55,Reason
56,Emotion
57,Emotion
58,Reason
59,Control
60,Control
61,Emotion
62,Emotion
63,Emotion
64,Emotion
65,Reason
66,Control
67,Emotion
68,Emotion
69,Emotion
70,Reason
71,Emotion
72,Control
73,Emotion
74,Emotion
75,Emotion
76,Control
77,Control
78,Reason
79,Reason
80,Reason
81,Emotion
82,Control
83,Control
84,Control
85,Emotion
86,Reason
87,Reason
88,Emotion
89,Reason
90,Reason
91,Reason
92,Control
93,Reason
94,Emotion
95,Reason
96,Reason
97,Reason
98,Reason
99,Reason
100,Control
101,Control
102,Reason
103,Reason
104,Reason
105,Emotion
106,Emotion
107,Emotion
108,Reason
109,Control
110,Control
111,Control
112,Reason
113,Emotion
114,Emotion
115,Control
116,Emotion
117,Emotion
118,Emotion
119,Control
120,Reason
121,Control
122,Control
123,Emotion
124,Reason
125,Control
126,Reason
127,Emotion
128,Emotion
129,Emotion
130,Reason
131,Control
132,Reason
133,Emotion
134,Reason
135,Control
136,Reason
137,Control
138,Reason
139,Emotion
140,Emotion
141,Control
142,Emotion
143,Reason
144,Reason
145,Emotion
146,Control
147,Reason
148,Control
149,Emotion
150,Reason
151,Emotion
152,Reason
153,Reason
154,Control
155,Emotion
156,Emotion
157,Reason
158,Emotion
159,Emotion
160,Reason
161,Reason
162,Emotion
163,Control
164,Control
165,Emotion
166,Reason
167,Control
168,Control
169,Emotion
170,Reason
171,Emotion
172,Emotion
173,Emotion
174,Emotion
175,Control
176,Emotion
177,Control
178,Reason
179,Control
180,Reason
181,Reason
182,Emotion
183,Control
184,Emotion
185,Reason
186,Emotion
187,Reason
188,Emotion
189,Control
190,Reason
191,Reason
192,Emotion
193,Reason
194,Control
195,Emotion
196,Control
197,Reason
198,Control
199,Reason
200,Emotion
201,Emotion
202,Control
203,Reason
204,Emotion
205,Emotion
206,Control
207,Reason
208,Reason
209,Control
210,Reason
211,Reason
212,Control
213,Emotion
214,Emotion
215,Emotion
216,Emotion
217,Emotion
218,Emotion
219,Control
220,Control
221,Reason
222,Control
223,Control
224,Emotion
225,Control
226,Control
227,Reason
228,Reason
229,Emotion
230,Control
231,Emotion
232,Reason
233,Control
234,Control
235,Control
236,Reason
237,Emotion
238,Control
239,Control
240,Control
241,Reason
242,Control
243,Reason
244,Control
245,Control
246,Control
247,Emotion
248,Emotion
249,Emotion
250,Control
251,Emotion
252,Reason
253,Control
254,Reason
255,Emotion
256,Control
257,Reason
258,Reason
259,Control
260,Control
261,Emotion
262,Reason
263,Control
264,Reason
265,Control
266,Emotion
267,Reason
268,Reason
269,Control
270,Emotion
271,Emotion
272,Reason
273,Control
274,Reason
275,Reason
276,Emotion
277,Emotion
278,Emotion
279,Control
280,Control
281,Reason
282,Emotion
283,Emotion
284,Emotion
285,Reason
286,Emotion
287,Control
288,Control
289,Emotion
290,Reason
291,Control
292,Control
293,Reason
294,Control
295,Control
296,Reason
297,Reason
298,Emotion
299,Control
300,Emotion
301,Control
302,Emotion
303,Control
304,Control
305,Reason
306,Control
307,Reason
308,Emotion
309,Emotion
310,Control
311,Emotion
312,Control
313,Emotion
314,Reason
315,Emotion
316,Emotion
317,Emotion
318,Reason
319,Reason
320,Emotion
321,Control
322,Emotion
323,Emotion
324,Reason
325,Reason
326,Reason
327,Reason
328,Emotion
329,Reason
330,Reason
331,Emotion
332,Emotion
333,Control
334,Emotion
335,Reason
336,Control
337,Reason
338,Emotion
339,Reason
340,Emotion
341,Control
342,Emotion
343,Emotion
344,Control
345,Control
346,Reason
347,Emotion
348,Control
349,Reason
350,Control
351,Emotion
352,Control
353,Emotion
354,Reason
355,Reason
356,Reason
357,Reason
358,Reason
359,Control
360,Emotion
361,Emotion
362,Reason
363,Emotion
364,Reason
365,Reason
366,Reason
367,Control
368,Control
369,Emotion
370,Reason
371,Reason
372,Reason
373,Reason
374,Control
375,Emotion
376,Emotion
377,Reason
378,Reason
379,Emotion
380,Reason
381,Emotion
382,Control
383,Reason
384,Reason
385,Control
386,Emotion
387,Emotion
388,Emotion
389,Reason
390,Control
391,Emotion
392,Control
393,Control
394,Control
395,Control
396,Reason
397,Emotion
398,Reason
399,Reason
400,Emotion
401,Reason
402,Reason
403,Reason
404,Emotion
405,Reason
406,Reason
407,Control
408,Emotion
409,Emotion
410,Emotion
411,Reason
412,Reason
413,Emotion
414,Emotion
415,Control
416,Reason
417,Control
418,Reason
419,Emotion
420,Reason
421,Control
422,Control
423,Control
424,Control
425,Emotion
426,Control
427,Emotion
428,Reason
429,Reason
430,Emotion
431,Reason
432,Control
433,Reason
434,Control
435,Emotion
436,Reason
437,Emotion
438,Control
439,Reason
440,Control
441,Emotion
442,Reason
443,Emotion
444,Control
445,Reason
446,Control
447,Emotion
448,Control
449,Emotion
450,Reason
451,Control
452,Emotion
453,Control
454,Control
455,Emotion
456,Reason
457,Reason
458,Emotion
459,Emotion
460,Control
461,Emotion
462,Control
463,Emotion
464,Reason
465,Emotion
466,Emotion
467,Emotion
468,Emotion
469,Control
470,Control
471,Emotion
472,Reason
473,Control
474,Control
475,Emotion
476,Emotion
477,Reason
478,Reason
479,Control
480,Reason
481,Control
482,Emotion
483,Reason
484,Emotion
485,Emotion
486,Emotion
487,Emotion
488,Emotion
489,Reason
490,Control
491,Emotion
492,Control
493,Control
494,Emotion
495,Control
496,Emotion
497,Reason
498,Emotion
499,Reason
500,Reason
501,Control
502,Control
503,Control
504,Emotion
505,Emotion
506,Emotion
507,Emotion
508,Control
509,Control
510,Control
511,Control
512,Reason
513,Reason
514,Reason
515,Reason
516,Reason
517,Emotion
518,Reason
519,Reason
520,Emotion
521,Reason
522,Control
523,Control
524,Emotion
525,Control
526,Reason
527,Reason
528,Control
529,Reason
530,Emotion
531,Reason
532,Control
533,Emotion
534,Control
535,Reason
536,Control
537,Emotion
538,Reason
539,Emotion
540,Reason
541,Emotion
542,Reason
543,Emotion
544,Reason
545,Emotion
546,Reason
547,Control
548,Reason
549,Emotion
550,Emotion
551,Control
552,Emotion
553,Emotion
554,Emotion
555,Reason
556,Emotion
557,Control
558,Emotion
559,Control
560,Control
561,Control
562,Emotion
563,Emotion
564,Emotion
565,Control
566,Emotion
567,Control
568,Control
569,Emotion
570,Emotion
571,Emotion
572,Emotion
573,Emotion
574,Reason
575,Control
576,Reason
577,Control
578,Reason
579,Control
